2026-06-15 16:59:36, MOVE, v:1, k:ed@treinando, mode:PICK
2026-06-15 16:59:39, MOVE, v:1, k:ed@treinando, mode:BACK
2026-06-15 17:03:00, MOVE, v:1, k:ed@treinando, mode:EDIT
2026-06-15 16:55:12, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-15 16:56:33, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-15 17:01:42, MOVE, v:1, k:ed@editorint, mode:PICK
2026-06-15 17:02:25, MOVE, v:1, k:ed@editorint, mode:BACK
2026-06-15 17:11:34, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:12:04, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:14:18, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:14:39, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:15:12, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:16:54, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:18:46, SELF, v:1, k:ed@editorint, self:1, rate:40, study:20
2026-06-15 17:23:26, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:24:16, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:24:46, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:25:31, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:25:29, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:25:31, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:29:42, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:31:07, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:32:45, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:32:45, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:33:27, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:34:59, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:35:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:35:57, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:36:23, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:36:20, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:36:23, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:43:05, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:41:50, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:43:05, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:44:20, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:44:46, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:45:33, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:46:02, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:46:58, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:48:20, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:48:30, EXEC, v:1, k:ed@editorint, mode:FREE
2026-06-15 17:48:28, MOVE, v:1, k:ed@editorint, mode:EDIT
2026-06-15 17:48:30, MOVE, v:1, k:ed@editorint, mode:EDIT
